names,GEO,expn,transcript,antibiotic_treatment
ENST00000621141.4,GSM2825122,74,GPR1_210,- doxycycline
ENST00000325110.10,GSM2825122,1698,HMGCS1_201,- doxycycline
ENST00000339336.8,GSM2825122,132,AMTN,- doxycycline
ENST00000512729.5,GSM2825122,31,TRIML2,- doxycycline
ENST00000382438.5,GSM2825122,78,NKX3-2,- doxycycline
ENST00000239316.4,GSM2825122,792,INSL4,- doxycycline
ENST00000382333.1,GSM2825122,246,FGFBP1,- doxycycline
ENST00000616727.4,GSM2825122,48,MUC13 ,- doxycycline
ENST00000621141.4,GSM2825123,44,GPR1_210,+ doxycycline
ENST00000325110.10,GSM2825123,532,HMGCS1_201,+ doxycycline
ENST00000339336.8,GSM2825123,40,AMTN,+ doxycycline
ENST00000512729.5,GSM2825123,14,TRIML2,+ doxycycline
ENST00000382438.5,GSM2825123,40,NKX3-2,+ doxycycline
ENST00000239316.4,GSM2825123,300,INSL4,+ doxycycline
ENST00000382333.1,GSM2825123,44,FGFBP1,+ doxycycline
ENST00000616727.4,GSM2825123,23,MUC13 ,+ doxycycline
ENST00000621141.4,GSM2825124,46,GPR1_210,- doxycycline
ENST00000325110.10,GSM2825124,602,HMGCS1_201,- doxycycline
ENST00000339336.8,GSM2825124,29,AMTN,- doxycycline
ENST00000512729.5,GSM2825124,35,TRIML2,- doxycycline
ENST00000382438.5,GSM2825124,64,NKX3-2,- doxycycline
ENST00000239316.4,GSM2825124,471,INSL4,- doxycycline
ENST00000382333.1,GSM2825124,64,FGFBP1,- doxycycline
ENST00000616727.4,GSM2825124,56,MUC13 ,- doxycycline
ENST00000621141.4,GSM2825125,49,GPR1_210,+ doxycycline
ENST00000325110.10,GSM2825125,1011,HMGCS1_201,+ doxycycline
ENST00000339336.8,GSM2825125,62,AMTN,+ doxycycline
ENST00000512729.5,GSM2825125,22,TRIML2,+ doxycycline
ENST00000382438.5,GSM2825125,59,NKX3-2,+ doxycycline
ENST00000239316.4,GSM2825125,536,INSL4,+ doxycycline
ENST00000382333.1,GSM2825125,62,FGFBP1,+ doxycycline
ENST00000616727.4,GSM2825125,63,MUC13 ,+ doxycycline
ENST00000621141.4,GSM2825126,55,GPR1_210,- doxycycline
ENST00000325110.10,GSM2825126,860,HMGCS1_201,- doxycycline
ENST00000339336.8,GSM2825126,18,AMTN,- doxycycline
ENST00000512729.5,GSM2825126,26,TRIML2,- doxycycline
ENST00000382438.5,GSM2825126,43,NKX3-2,- doxycycline
ENST00000239316.4,GSM2825126,557,INSL4,- doxycycline
ENST00000382333.1,GSM2825126,88,FGFBP1,- doxycycline
ENST00000616727.4,GSM2825126,68,MUC13 ,- doxycycline
ENST00000621141.4,GSM2825127,81,GPR1_210,+ doxycycline
ENST00000325110.10,GSM2825127,1270,HMGCS1_201,+ doxycycline
ENST00000339336.8,GSM2825127,63,AMTN,+ doxycycline
ENST00000512729.5,GSM2825127,41,TRIML2,+ doxycycline
ENST00000382438.5,GSM2825127,74,NKX3-2,+ doxycycline
ENST00000239316.4,GSM2825127,611,INSL4,+ doxycycline
ENST00000382333.1,GSM2825127,88,FGFBP1,+ doxycycline
ENST00000616727.4,GSM2825127,58,MUC13 ,+ doxycycline
